term,antonyms
бесчеловечный,"человечный, гуманный"
бесчестить,"прославлять, хвалить"
бесчестность,честность
бесчестье,"честь, почесть, слава, почёт"
бесчинства,спокойствие
бесчисленность,исчислимость
бесчувственность,чувство
бесчувственный,"чувствительный, чуткий, отзывчивый, душевный"
бешеный,спокойный
битый,небитый
бичевать,"одобрять, хвалить"
благо,зло
благовидный,неблаговидный
благовоние,зловоние
благоговение,"поругание, презрение"
благоговеть,"презирать, ни в грош не ставить"
благодарность,неблагодарность
благодарный,неблагодарный
благодаря,"несмотря на, вопреки"
благоденствие,"разорение, упадок"
благоденствовать,находиться в состоянии упадка
благожелательность,враждебность
благонадежный,неблагонадежный
благополучие,"бедность, недостаток, неблагополучие"
благополучно,неблагополучно
благополучный,"бедственный, безуспешный, неблагополучный, неуспешный, провальный"
благопристойный,"неблагопристойный, неприличный"
благоприятный,"неблагоприятный, неподходящий, неудобный"
благоразумие,безалаберность
благоразумный,"безрассудный, неразумный, неблагоразумный, нецелесообразный"
благородно,"низко, неблагородно"
благородный,"неблагородный, низкий, низменный, невеликодушный, подлый"
благородство,"неблагородство, низость, подлость"
благосклонный,"неблагосклонный, недоброжелательный"
благословение,проклятие
благословить,проклясть
благословлять,проклинать
благосостояние,"бедность, крушение, нищета, упадок"
благоухание,"зловоние, смрад"
блаженно,мучительно
блаженство,"мука, мучение, страдание"
блаженствовать,"мучиться, страдать"
бледнеть,краснеть
бледно,ярко
бледность,"яркость, румянец"
бледный,"румяный, яркий, яркий, румяный"
блёклый,яркий
ближайший,далекий
ближний,"отдалённый, дальний, неблизкий"
близиться,отдаляться
близкий,"отдалённый, дальний, удаленный, чуждый, нескорый, отдаленный, далёкий, нескорый, удалённый, чуждый, чужой, посторонний, сторонний"
близко,"далеко, вдали, вдалеке, в отдалении, далече"
близлежащий,отдаленный
близорукий,"дальнозоркий, дальновидный, предусмотрительный"
близоруко,дальнозорко
близорукость,"дальнозоркость, дальновидность, предусмотрительность"
близость,"дальность, дистанция, различие, разница"
близь,даль
блокирование,"открытие, разблокирование, разрешение, снятие блокировки"
блокировать,"открывать, разблокировать"
блокировка,открытие
блокирующий,"открывающий, неблокирующий, незапирающий"
блондин,брюнет
блондинка,брюнетка
блочный,монолитный
блюсти,нарушать
богатеть,"нищать, беднеть, оскудевать, прогорать, скудеть, терять состояние, разоряться"
богато,"бедно, убого, нищенски, небогато"
богатство,"убожество, нищета, бедность, нехватка, нужда, убогость, скудость"
богатый,"небогатый, убогий, скудный, малоимущий, бедный, небогатый, бедный, скудный, малоимущий, нищий, бедный, небогатый, скудный, неимущий, нищенский"
богатырь,карлик
богач,"бедняк, нищий, бедняк, бедный, голяк"
богачи,бедные
боголюбивый,атеистичный
боготворить,презирать
божественный,светский
бойкий,"заторможенный, меланхоличный"
бойкость,заторможенность
более,менее
болезненный,здоровый
болеть,здороветь
болтать,молчать
болтливость,молчаливость
болтливый,"молчаливый, неразговорчивый"
болтун,молчун
боль,наслаждение
больной,здоровый
больше,"менее, меньше"
больший,"малый, маленький, меньший, наименьший"
большинство,меньшинство
большой,"маленький, малый, незначительный, ничтожный, миниатюрный, невеликий, мизерный, маленький, малый, ничтожный, миниатюрный, мизерный, небольшой, мелкий, крошечный"
бороться,"сотрудничать, жить в мире"
борьба,"мир, подчинение, соглашательство, союзничество"
босс,подчиненный
боязливый,"неустрашимый, отважный, смелый, храбрый, смелый, отважный, безбоязненный, бесстрашный"
боязнь,"неустрашимость, решительность, храбрость"
бояться,"отваживаться, рисковать, сметь"
брак,развод
бракованный,хороший
бранить,"расхваливать, хвалить, превозносить"
браниться,мириться
бранно,хвалебно
бранный,хвалебный
брань,похвала
братство,разрозненность
брать,"давать, отдавать, вкладывать, вручать, отвергать, вручать, отвергать, вкладывать"
браться,"вручаться, даваться, подаваться, вручаться, подаваться, даваться"
бренность,вечность
бросать,поднимать
брутто,нетто
брюнет,блондин
брюнетка,блондинка
будень,праздник
будить,усыплять
будни,"праздник, праздники, торжество"
будний,"праздничный, выходной, нерабочий"
буднично,празднично
будничность,"помпезность, праздничность, пышность, торжественность, экстраординарность"
будничный,"праздничный, парадный, воскресный, высокий, необыкновенный, возвышенный, неслыханный, необычный, нарядный, выходной"
будущий,"прошедший, прошлый, настоящий, былой, давний, нынешний, истекший, минувший"
буквальный,неточный
бунтовать,подавлять
бурный,спокойный
буря,покой
бушующий,умиротворенный
бывальщина,небывальщина
бывший,"последующий, будущий, настоящий"
былой,"грядущий, будущий, наступающий"
быль,"небыль, небылица, сказка"
быстро,"медленно, тихо, медлительно, нерасторопно"
быстрота,"медлительность, заторможенность"
быстротечный,"бессрочный, долгий, медленный, продолжительный"
быстрый,"медленный, медлительный, тихий, медленный, неторопливый, неспешный"
бытие,"небытие, смерть"
бытовать,отсутствовать
быть,отсутствовать
в глаза,"за глаза, заочно"
в шутку,всерьез
в(о),[]
важнейший,незначительный
важно,"неважно, ничтожно, незначительно"
важность,"второстепенность, неважность, незначительность, несерьезность, ничтожество, ничтожность"
важный,"неважный, ничтожный, незначительный, чепуховый, второстепенный, несущественный, несерьёзный, незначимый, небольшой, незначимый, небольшой, второстепенный, чепуховый, маловажный"
вакантный,занятый
варварский,цивилизованный
вбегать,выбегать
вбежать,"выбежать, вынестись, вылететь"
вбивать,выбивать
вбирание,распространение
вбирать,"выделять, излучать, распространять"
вблизи,"вдали, в отдалении, вдалеке, далеко, подалеку, издалека, издали"
введение,"выведение, отвод, отключение, послесловие, пролог, удаление, элиминация, эпилог"
ввезти,вывезти
ввернуть,"вывернуть, вывинтить, выкрутить"
вверх,"вниз, книзу"
вверху,внизу
ввести,"вывести, выгнать, выпустить, исключить, отвести, отключить"
ввечеру,поутру
ввинчивать,вывинчивать
ввод,"вынесение, выход, вычеркивание"
вводить,"выводить, выставлять, изымать, исключать, отводить, устранять"
вводный,выпускной
ввоз,"вывоз, экспорт"
ввозить,"вывозить, экспортировать"
ввозной,вывозной
ввозный,вывозной
вдаваться,"выдаваться, выступать, выдвигаться"
вдалеке,"вблизи, возле, около, рядом"
вдали,"вблизи, возле, неподалеку, около, рядом"
вдвигать,высовывать
вдоль,поперек
вдох,выдох
вдохновлять,убивать
вдохновляться,охлаждаться
вдыхание,выдыхание
вдыхать,выдыхать
ведомый,неведомый
ведренный,"дождливый, ненастный"
ведрено,"дождливо, ненастно"
ведреный,"дождливый, ненастный"
вёдро,"дождь, ненастье"
ведущий,"второстепенный, младший, периферийный"
вежливо,грубо
вежливость,грубость
вежливый,"грубый, нелюбезный, неучтивый, некультурный, невежливый, некорректный, резкий"
везде,нигде
везение,"бедствие, невезение"
везучесть,невезучесть
везучий,невезучий
век,мгновенье
веки,"вечные, миг"
велеть,подчиняться
великан,"карлик, лилипут"
великий,"ничтожный, маленький, малый, жалкий, смешной, незначительный, нищенский"
великолепный,"невзрачный, неприметный"
величественный,ничтожный
величие,"ничтожество, ничтожность"
вера,"неверие, безверие, атеизм, недоверие, сомнение"
вербовка,"роспуск, увольнение"
верить,сомневаться
верифицируемый,неверифицируемый
верно,неверно
верность,"предательство, неверность, измена, отклонение, ошибочность, нарушение, неправильность"
вернуться,уйти
верный,"неверный, искаженный, ложный, вероломный, неправильный, ошибочный, предательский, ненадежный, непостоянный"
вероломный,"верный, преданный"
вероятностный,"обязательный, упорядоченный"
вероятность,"достоверность, невозможность"
вероятный,невероятный
вертикаль,горизонталь
вертикально,горизонтально
вертикальный,горизонтальный
верующий,"неверующий, атеист"
верх,"низ, минимум, спад, фундамент"
верхний,"нижний, наименьший"
верховенство,подчинение
верховный,второстепенный
верховой,низовой
верховье,низовье
верхом,низом
верхушка,"минимум, низ"
вершина,"минимум, низ, основа, подошва, фундамент, долина"
вершить,повиноваться
веселие,"бедствие, горе"
веселить,печалить
веселиться,"скучать, хмуриться, грустить, тосковать, горевать, печалиться, унывать"
весело,"горестно, хмуро, угрюмо, тоскливо, скучно, печально, пасмурно, невесело, мрачно, грустно, тяжело, уныло, безрадостно"
весёлость,"мрачность, скука, угрюмость"
весёлый,"пасмурный, печальный, скучный, невеселый, хмурый, тоскливый, мрачный, угрюмый, грустный, унылый, угнетенный, угнетающий, тяжкий, тяжелый, гнетущий, озабоченный, унылый, угрюмый, угнетенный, гнетущий, безрадостный"
веселье,"грусть, уныние, тоска, радость, мрачность, печаль, скука"
весенний,осенний
веский,"неважный, недостаточный, неубедительный"
весна,осень
весной,осенью
вест,восток
весьма,не совсем
вето,разрешение
ветреность,"степенность, обстоятельность, основательность, серьезность"
ветреный,безветренный
ветхий,новый
ветхозаветный,современный
ветхость,юность
ветшать,"возрождаться, молодеть"
вечер,утро
вечерний,утренний
вечером,утром
вечно,временно
вечность,"миг, мгновение, конечность, минута, момент, секунда"
вечный,"мгновенный, временный, преходящий, недолгий, недолговечный, краткий, эфемерный, конечный, проходящий, конечный, проходящий, мимолётный"
вещественный,"духовный, недействительный, нереальный"
взаимодействие,рассогласованность
взаимозависимость,независимость
взаимозаменяемый,незаменимый
взаимоотталкивание,взаимопритяжение
взаимосвязанный,разрозненный
взаимосвязь,несогласованность
взамен,наряду с
взбадривать,"изматывать, переутомлять, утомлять"
взбегать,сбегать
взбираться,"заходить, спускаться"
взбодрить,убить
взбухать,сжиматься
взвевать,опускать
взвеять,опустить
взволновать,успокоить
взволноваться,успокоиться
вздорожать,"подешеветь, подешеветь"
вздуваться,сжиматься
вздымание,опущение
вздымать,опускать
вздыматься,"падать, опускаться, ниспадать, снижаться, располагаться низко"
взлет,"падение, посадка, понижение, спад, посадка"
взлёт,"падение, посадка, понижение, спад, посадка"
взлетать,"садиться, падать, опускаться, снижаться, приземляться, прилуняться"
взлететь,"упасть, сесть, опуститься"
взмести,опустить
взметать,опускать
взмывать,"опускаться, снижаться"
взмыть,опуститься
взнос,заем
взойти,"сесть, закатиться, зайти, опуститься, понизиться, снизиться"
взрослые,дети
взрослый,"маленький, детский"
взрыв,спад
взрывать,упрочивать
взрываться,упрочиваться
взыскательно,снисходительно
взыскательность,"невзыскательность, нетребовательность"
взыскательный,снисходительный
взять,"дать, отдать, выдать, наложить, освободить, подать, помещать, предоставить, сдавать, ссудить, вручить, передать"
взяться,завершить
вибрировать,находиться в состоянии покоя
вид,внутренний мир
видение,слепота
видеть,не иметь информации
видимый,"скрытый, потаенный, секретный, невидимый, незаметный, незримый"
видный,"невзрачный, незаметный, заурядный, невыдающийся, неочевидный, неприметный, неразличимый, нерепрезентабельный"
видоизменение,застой
видоизменить,оставить без изменений
виктория,разгром
вина,правота
винить,оправдывать
виниться,отрицать
виноватый,"невиноватый, безвинный, правый, невинный, невиновный, неповинный, непричастный"
виновность,"невиновность, невинность, правота, неповинность, непричастность, невиновность"
виртуальный,невозможный
вклад,заем
вклады,займы
вкладывать,брать
включать,"выключать, выставлять, вычеркивать, изымать, исключать, отнимать, стирать, удалять, устранять, элиминировать, выводить из игры, отсоединять, выключать, выставлять, вычеркивать, изымать, отнимать, отсоединять, стирать, удалять, устранять, элиминировать, выводить из игры, исключать, выключать, вычеркивать, отнимать, выставлять, изымать, удалять, устранять, элиминировать, выводить из игры, отсоединять, стирать, выключать, изымать, вычеркивать, выводить из игры, элиминировать, выставлять, удалять, исключать, устранять, отнимать, отсоединять, стирать, отключать"
включаться,"выключаться, выходить, отводиться, отсоединяться, выключаться, выходить, отсоединяться, отводиться, выключаться, выходить, отводиться, отсоединяться"
включающий,"выключающий, отключающий"
включая,"исключая, кроме"
включение,"выключение, вычеркивание, изъятие, исключение, остановка, отсоединение, размыкание, стирание, удаление, устранение, отключение"
включенный,"свободный, выключенный"
включить,"выключить, изъять, отвести, отключить, элиминировать, удалить"
включиться,"выйти, выключиться, отключиться, отсоединиться"
вкус,"безвкусие, безвкусица"
вкусный,"невкусный, безвкусный"
влага,сухость
влагонепроницаемый,промокаемый
владыка,"подчиненный, раб"
владычество,подчинение
владычествовать,повиноваться
влажно,сухо
влажность,сухость
влажный,"сухой, высохший, засохший, засушливый"
властвовать,"покоряться, подавляться, подчиняться"
властелин,"раб, слуга"
властитель,"подданный, подчиненный, раб"
властный,"мягкий, безвольный"
властолюбивый,миролюбивый
власть,"безвластие, бессилие, повиновение, подчинение"
влево,вправо
влезать,слезать
влет,вылет
влетать,вылетать
влететь,вылететь
влечь,отталкивать
вливать,выливать
вливаться,"выключаться, выходить"
влить,"вывести, вылить"
влиться,"выйти, выключиться, отвестись"
влиятельный,"незначительный, не имеющий реальной власти"
влиять,"подчиняться, не оказывать влияния"
влюбиться,разлюбить
вместе,"порознь, врозь, отдельно, по очереди, раздельно"
вместительный,узкий
вместиться,не уложиться
вначале,"впоследствии, позднее, позже, после"
внебрачный,законнорожденный
внедрение,ликвидация
внедрить,"вывести, ликвидировать"
внедрять,ликвидировать
внезапность,предсказуемость
внепиковый,пиковый
внесение,вынесение
внести,"выписать, вычеркнуть"
внешне,внутренне
внешнеполитический,внутриполитический
внешний,"внутренний, врожденный, духовный, душевный, природный, прирожденный, скрытый"
внештатный,штатный
вниз,"вверх, наверх, кверху, ввысь"
внизу,"наверху, вверху"
внимательно,рассеянно
внимательность,"небрежность, невнимательность, рассеянность, халатность"
внимательный,рассеянный
вновь,ни разу
вносить,"выносить, выписывать, выставлять, вычеркивать"
вноситься,"выписываться, вычеркиваться"
внуки,"деды, прадеды, праотцы, прародители, пращуры, предки"
внутренне,"наружно, внешне, извне"
внутренний,"внешний, наружный, заграничный, зарубежный, иностранный, мелкий, неглубокий, поверхностный, показной, публичный, чужеземный, чужестранный, неосновательный"
внутри,"извне, наружу, снаружи"
внутриполитический,"внешнеполитический, общественно-политический, социально-политический"
внутрь,"наружу, вовне, снаружи"
во,изо
во сне,наяву
вовлекать,выводить
вовлечение,исключение
вовне,"внутрь, извне"
вогнутость,выпуклость
вода,"суша, земля, почва"
водворение,выдворение
водворить,"выдворить, выселить"
водвориться,"выдвориться, выселиться, выселяться"
водворять,"выгонять, выдворять, выселять"
водворяться,"выселяться, быть свергнутым"
воевать,не сопротивляться
военачальник,подчиненный
военнослужащий,гражданский
военный,мирный
вождь,подчиненный
возбранить,"позволить, разрешить"
возбраняется,разрешается
возбранять,дозволять
возбудить,"заглушить, затормозить, охладить, погасить, покончить"
возбудиться,затормозить
возбуждать,"заглушать, заканчивать, тормозить, уничтожать, усмирять, успокаивать"
возбуждаться,"кончаться, подавляться, тормозить"
возбуждение,спокойствие
возведение,"исключение, отмена, поломка, слом, уничтожение, упразднение"
